Date,Open,High,Low,Close,Volume,Adj Close
2016-08-19,18.959999,19.309999,18.76,18.98,16962500,18.98
2016-08-18,19.559999,19.60,18.92,19.00,47070200,19.00
2016-08-17,20.43,20.440001,19.90,20.17,22721200,20.17
2016-08-16,20.780001,20.790001,20.290001,20.40,23230600,20.40
2016-08-15,19.85,21.10,19.83,20.860001,58516000,20.860001
2016-08-12,19.709999,19.709999,19.01,19.540001,28209600,19.540001
2016-08-11,19.17,19.83,19.110001,19.780001,30807900,19.780001
2016-08-10,18.67,19.57,18.559999,19.040001,28482300,19.040001
2016-08-09,18.17,18.790001,17.969999,18.68,19105500,18.68
2016-08-08,18.25,18.48,17.93,18.200001,15502800,18.200001
2016-08-05,18.190001,18.58,18.139999,18.26,22811700,18.26
2016-08-04,17.57,18.309999,17.360001,18.129999,33119100,18.129999
2016-08-03,16.34,17.879999,16.33,17.610001,55611400,17.610001
2016-08-02,16.610001,16.700001,16.200001,16.42,16611300,16.42
2016-08-01,16.65,16.85,16.40,16.639999,26053200,16.639999
2016-07-29,16.389999,16.74,16.24,16.639999,26057200,16.639999
2016-07-28,15.89,16.34,15.88,16.309999,31442400,16.309999
2016-07-27,16.34,16.59,15.69,15.77,83161900,15.77
2016-07-26,18.52,18.65,18.16,18.450001,44132800,18.450001
2016-07-25,18.43,18.700001,18.17,18.65,21485300,18.65
2016-07-22,18.120001,18.389999,17.76,18.370001,19639500,18.370001
2016-07-21,18.57,18.799999,18.35,18.389999,13907800,18.389999
2016-07-20,18.52,18.76,18.450001,18.559999,15029200,18.559999
2016-07-19,18.51,18.90,18.27,18.33,27283400,18.33
2016-07-18,18.290001,18.75,18.049999,18.65,29731200,18.65
2016-07-15,17.98,18.18,17.809999,18.08,17371200,18.08
2016-07-14,18.02,18.280001,17.91,17.959999,19585300,17.959999
2016-07-13,18.209999,18.32,17.50,17.74,17931900,17.74
2016-07-12,17.98,18.379999,17.92,18.10,23816200,18.10
2016-07-11,17.59,17.879999,17.52,17.709999,24041900,17.709999
2016-07-08,17.530001,18.16,17.469999,18.08,24884000,18.08
2016-07-07,17.24,17.68,17.24,17.370001,13492900,17.370001
2016-07-06,17.02,17.34,16.809999,17.200001,15665700,17.200001
2016-07-05,17.25,17.280001,16.76,17.139999,15718000,17.139999
2016-07-01,16.93,17.50,16.90,17.280001,20744500,17.280001
2016-06-30,16.799999,17.00,16.73,16.91,14111000,16.91
2016-06-29,16.60,17.01,16.43,16.83,18236000,16.83
2016-06-28,16.24,16.639999,16.16,16.42,18717300,16.42
2016-06-27,16.290001,16.40,15.46,15.84,23461800,15.84
2016-06-24,16.24,16.90,16.200001,16.440001,31560100,16.440001
2016-06-23,16.299999,17.07,16.280001,17.040001,25373100,17.040001
2016-06-22,16.27,16.32,16.049999,16.129999,13791500,16.129999
2016-06-21,16.48,16.559999,16.17,16.32,15086500,16.32
2016-06-20,16.34,16.639999,16.15,16.34,22876100,16.34
2016-06-17,16.16,16.370001,15.96,16.10,32254100,16.10
2016-06-16,15.90,15.95,15.40,15.87,23618700,15.87
2016-06-15,15.71,16.440001,15.71,15.96,53535200,15.96
2016-06-14,14.82,15.42,14.80,15.36,37395700,15.36
2016-06-13,14.63,15.30,14.51,14.55,43160900,14.55
2016-06-10,14.45,14.45,14.00,14.02,22092800,14.02
2016-06-09,14.84,14.86,14.59,14.60,12398100,14.60
2016-06-08,15.07,15.12,14.81,14.95,12991000,14.95
2016-06-07,15.36,15.37,14.91,15.00,16518000,15.00
2016-06-06,15.22,15.45,15.18,15.27,13768500,15.27
2016-06-03,15.11,15.35,14.96,15.20,15496600,15.20
2016-06-02,15.04,15.26,14.85,15.20,13186100,15.20
2016-06-01,15.22,15.22,14.62,15.02,18249900,15.02
2016-05-31,15.12,15.49,15.08,15.22,24296600,15.22
2016-05-27,14.25,15.10,14.23,15.10,28360000,15.10
2016-05-26,14.45,14.48,14.19,14.30,21131600,14.30
2016-05-25,14.07,14.57,14.06,14.41,23176700,14.41
2016-05-24,14.22,14.22,13.73,14.03,36233900,14.03
2016-05-23,14.40,14.60,14.33,14.41,12933400,14.41
